Nome da empresa,Motivos
99,"Liderança extremamente despreparada para lidar com pessoas, pois apenas submetem as metas, mas nunca estão buscando soluções para problemas operacionais ou processuais, pois não sabem se posicionar, tampouco ajudam o time a mirar em um objetivo. Dito isso, é extremamente difícil sair do lugar visto que a empresa não incentiva o colaborador a se desenvolver. Erra também na disparidade de diversidade. Há também uma grande disparidade em relação a diversidade, já que essa é mais concentrada ao time de UAU (Unidade de Atendimento ao Usuário). A 99 também é uma empresa que, comparada ao mercado, tem um baixo salário, benefícios incompatíveis com a região (Avenida Paulista) e oferece mínima autonomia, visto que as atividades mais relevantes são concentradas na China. Visto isso, empresa sem grandes desafios do lado do time brasileiro e sem muitas oportunidades de crescimento. Ah! Ela já fez layoff. Então... corra!"
99,"É impossível crescer lá dentro. Já vi pessoas sem conhecimento técnico algum, virarem líderes ali dentro por muito pouco, sinceramente, tem uma liderança muito muito muito ruim, muita gente já teve burnout ali dentro, mas no marketing paga de empresa jovem e descolada"
99,"Esse povo brinca de trabalhar, principalmente o marketing que recebe tanto dinheiro mas só fazem campanhas fracas"
99,Time do Brasil fica à mercê da china e com a liderança nas mãos de um chinês rude
99,"Demitem sem motivo algum e na msm semana abrem vaga pra msm área só pra que estágio, pra fazer a msm coisa que vc fazia só que pagando menos. Ou pegam um terceirizado "
99,"MUITO ACUMULO DE FUNÇÃO, jogam tudo nas suas costas e depois te cobram como se fosse incompetente "
99,"Pior empresa de tecnologia pra se trabalhar, autonomia zero, liderança zero, plano de carreira lamentável, salários abaixo do mercado."
99,"péssima liderança, lugar extremamente tóxico pra se trabalhar, ninguém sabe direito o que tá fazendo, um monte de gente sem conhecimento técnico algum pagando de sabe-tudo, nossa terrível, procurando algo no mercado pra ontem"
99,se arrependimento matasse eu tava é morta já de ter saído da minha empresa anterior pra entrar nessa bomba... jesus socorro
99,"Me contrataram pra ser especialista de processo e no final estou atuando como analista de relacionamento. Me ofereceram uma proposta, sai de uma outra empresa onde tinha propósito no meu trabalho pra acordar todo santo dia chorando 😭 alguem me tira daqui plmdds"
99,"Promovem homens simplesmente por serem brancos e heteros. Inclusive, tem um ali que já me mandou nudes DO NADA e é coordenador. Sem contar que os líderes negros protegem quem é negro, mesmo quando a pessoa protegida assedia moralmente outras pessoas. Você entrega projetos incríveis, mas quem recebe ""value star"" é gay cujo projeto era passar os jogos da copa feminina de futebol nos telões da empresa (porque era amiguinho do time de Benefícios). Acúmulo de função, você faz trampo de analista bilíngue e recebe como analista comum. Sem contar que, possuem grupos de afinidade como 99Afro, mas não demitiram funcionário neonazista, mesmo com denúncias e provas (Compliance simplesmente disse ""o que a pessoa faz fora da empresa não é problema da empresa""). Promoção? Impossível, principalmente se você é parte do time de atendimento. Segregação puxa, quem era do atendimento sequer tinha chance de ir pra áreas como Marketing, por exemplo. "
99,"a empresa fala de saúde mental, mas tem uma taxa gigantesca de pessoas com burnout"
99,"Empresa jovem e tóxica, corram, salário muito abaixo do mercado e o time de RH mente pra vc na cara dura, terrível esse lugar meu desejo é sair daqui o quanto antes"
99,teste
99,"Manterrupting, Mansplaining, machismo diariamente!!! Independente da orientação sexual! E ainda endossado pelos líderes  "
99,teste
99,"RH acoberta assédio e racismo, as HRBP não servem pra nada"
.Aegea,"Empresa de merda, literalmente. Fuja. Diretoria Financeira só tem gestor canalha ou psicopata: gritos, jornada de 15 durante feriado, puxada de tapete... isso é só o aperitivo"
@ SECRET ADM PENITENCIÁRIA GOVERNO DE SP,"BASE DE ESCOLTA SANTANA TEM TURNOS ABUSIVOS DE TRABALHO ATÉ 18 HORAS SEM RECEBER H. EXTRA NEM BANCO DE HRS. ALIMENTAÇÃO NO LOCAL AZEDA E MAL FEITA. SEM VT E O VER É SÓ 200 REAIS. CULTURA DA OPRESSÃO PARECE QUE ESTAMOS NOS TEMPOS DA ESCRAVIDÃO,  O COMANDO MALUCO ROMANTIZA O BURNOUT E A DEPRESSÃO É VISTA COMO FRAQUEZA DO SERVIDOR.VÁRIAS DENUNCIAS, GOVERNADOR, SECRETÁRIO E DEPUTADOS SABEM E NGM RESOLVE. A FRASE POR LÁ É PEDE PRA SAIR. "
/Mottu,"Todos que você puder imaginar. Carga excessiva de trabalho (6 dias por semana, variando de 12 a 16h por dia), salário pífio, zero sentido gestão (cada dia era uma aleatoriedade diferente), ambiente hostil (cadeiras que te dão problema de coluna, barulho que te deixa surdo, sujeira, cheiro de fumaça de motor de moto), cobrança excessiva sobre nenhum tipo de indicador. Resumindo, fuja."
/SECRETARIA ADM PENITENCIÁRIA GOV SP,"BASE DE ESCOLTA SANTANA O COMANDO MALUCO COM SEU PANTERA NEGRA DA SHOPEE EXPLORAM E CAUSAM O ADOENCIMENTO DOS PROFISSIONAIS DE ESCOLTA, TURNOS DE TRABALHO ATÉ 18 HORAS SEM RECEBER H. EXTRA NEM BANCO DE HRS. ALIMENTAÇÃO NO LOCAL AZEDA E MAL FEITA. SEM VT E O VER É SÓ 200 REAIS. CULTURA DA OPRESSÃO PARECE QUE ESTAMOS NOS TEMPOS DA ESCRAVIDÃO,OU EM UM CAMPO DE CONCENTRAÇÃO."
/SECRETARIA DA ADM PENITENCIARIA GOVERNO DE SAO PAULO,"CULTURA EXTREMAMENTE TÓXICA, NOS SENTIMOS EM UM CAMPO DE CONCENTRAÇAO, SOMOS HUMILEMPRESA NOS TRATA COMO SE ESTIVESSEMOS EM UM CAMPO DE CONCENTRAÇAO NA ALEMANHA NAZISTA, TRABALHAMOS 18 HORAS DIA MAS NAO TEMOS HORA EXTRA E NEM BANCO DE HORAS, 200 REAIS DE V.A SEM VT, ALIMENTAÇAO SERVIDA NO LOCAL VEM AZEDA, E É MUITO MAL FEITA,  ROMANTIZAM O SOFRIMENTO, O BURNOUT, AS DOENÇAS PSIQUIATRICAS, AUTO ÍNDICE DE ADOECIMENTO E SUICÍDIOS, OS MAIS ANTIGOS E A CHEGIA DIZEM QUE QUEM NAO ESTA SATISFEITO PEDE PRA SAIR. HA UM CERTO GRUPO CHAMADO, COMANDO, QUE MAIS TA PRA ""COMANDO MALUCO"" VIVEM DE FERRAR A VIDA DO TRABALHADOR E O PSICOLOGICO DE TODOS OS QUE NAO ESTAO NA PANELINHA, MAS ESTES VAO EMBORA NO HORARIO CERTO E COMEM BEM. NAO ADIANTA DENUNCIAR, SENTAM NA DENUNCIA E CONTINUAMOS LASCADOS, TODOS SABEM, O SECRETARIO DA PASTA, OS DEUPADOS DA ALESP O GOVERNADOR ABACAXI. TODOS. "
1500chan,Metas abusivas. Moderação não recebe salário.
180graus soluções,Chefe incompetente
1Doc,"Diretor, o careca é extremamente machista, com ações machistas presenciadas como: coloca mulher gostosa com roupa colada  no Stand  pq chama atenção. Ridículo.."
"1º Protesto, Registro de Títulos e Documentos e Pessoas Jurídicas de Goiânia","Há uma panelinha dentro da empresa. O setor de TI é coordenado por uma pessoa tóxica, que não trabalha em equipe e que fica te zoando por não conseguir realizar uma atividade ao invés de trabalhar em equipe para que o setor alcance os objetivos. Faz piadinhas sem graças e quando sabe que houve um feedback em relação a sua pessoa para diretoria, o chama na sala para tirar satisfações e te deixar na mão para qualquer atividade. Ao realizar novas atividades com objetivo de ajudá-lo, fica grilado. O sentimento é que estamos tendo uma briga por função dentro do setor, devido a toxidade do rapaz. E o principal não compartilha conhecimento com os colegas do setor. "
1SECRETARIA DA ADM PENITENCIÁRIA GOV SP,"BASE DE ESCOLTA SANTANA TEM TURNOS ABUSIVOS DE TRABALHO ATÉ 18 HORAS SEM RECEBER H. EXTRA NEM BANCO DE HRS. ALIMENTAÇÃO NO LOCAL AZEDA E MAL FEITA. SEM VT E O VER É SÓ 200 REAIS. CULTURA DA OPRESSÃO PARECE QUE ESTAMOS NOS TEMPOS DA ESCRAVIDÃO, O COMANDO MALUCO ROMANTIZA O BURNOUT E A DEPRESSÃO É VISTA COMO FRAQUEZA DO SERVIDOR.VÁRIAS DENUNCIAS, GOVERNADOR, SECRETÁRIO E DEPUTADOS SABEM"
200dev,"Gestão fraca. Fazem joguinhos com a equipe. Não alinham expectativas. Aceitam que o cliente coloque as regras de carga horária, não respeitando a jornada sindical."
200dev,"Falta de feedbacks, demissão sem explicação nenhuma, falta de empatia com o funcionário"
28Tabeliao de Notas de SP,"Ambiente tóxico, a tabeliã age de forma parcial, prejudica clientes e funcionários, aplica punições desnecessárias, rotatividade gigante porque ninguém aguenta trabalhar lá, salário abaixo do mercado, sem benefício inclusive de VR, tabelia usa a sua condição de gênero para justificar suas relações ruins com outros cartórios. Em 2021, mais da metade dos funcionários se demitiram pois estava insustentável trabalhar lá, a esposa da Tabelia transforma tudo em um inferno, não tem bônus e nem gratificação, lá somos apenas números. Salário incompatível, ambiente horrível. FUJA!!"
300 FRANCHISING EXPONENCIAL,"Empresa mais hipocrita do mercado de franquias, VR de 10 reais por dia, prometem comissão agressiva, mas o colaborador só vende se a campanha de marketing feita de dentro da empresa funciona. Gestão totalmente despreparada, bons vendedores são promovidos para cargos de gestão, mas os mesmos não possuem nenhuma postura quanto a gestão de pessoas. Favorecimento de bons negócios para familiares do CFO, os colaboradores mais antigos não são valorizados. Fundadores da empresa só sabem comprar carros importados e dizer que são os melhores, mas internamente todos os colaboradores sabem que a empresa está com a pior crise de faturamento e não abaixam o nível de ostentação. Diversos colaboradores com bornout e a saúde mental acabada e mesmo assim se você não está trabalhando +12 horas por dia você não está dando o seu melhor. "
3C Plus,Parece um culto. Galera puxa saco pra subir e salários baixos e discurso meritocrata
3C Plus,"Hipocrisia. Se não puxar o saco da liderança e dos heads, teus dias estarão contados, assim como eu acho que os dias da empresa também estão, já que não param de demitir e fazer de conta que nada está acontecendo. Tentam se pagar de bons só pelos Benefícios, mas a convivência é uma merda!!!!!!!!!!!!!!!!"
3CON,Não recomendo se o seu contrato for CLT. Não dão o repasse correto para casos de promoção e horas extras. Não dão suporte para casos burnout. Gestão muito falha e alocações sem acompanhamento. Poucos benefícios e salário abaixo da média do mercado.
3layer,"1- Remoto, mas todos precisam ficar em uma sala, se não está na sala virtual do google, não está trabalhando. 2 - Acumulo de funções, atuo em 3 funções e se não consigo fazer uma delas vou ser exposto e demitido por baixa performance ou irresponsabilidade. 3 - Pj com horário de entrada e saída, com gestores e gerentes. 4- Tem que estar disponível no whatsapp pessoal sempre que te chamarem não importando o dia e horário. 5 - Qualquer pessoa que discorda do ambiente tóxico é tratado como preguiçoso e é demitido em pouco tempo"
3M Supermercados,"Horas extras fora do ponto, demora muito tempo para entrega do material de EPI, muitos desvio de funções "
4 Hábitos,"CEO divide o risco do negócio com os colaboradores, não paga comissão em dia, e contrata todos PJ mas quer exigência de trabalho como CLT. "
42 Rio,zero comprometimento com os alunos.
4A comercial elétrica,"Fui demitida depois de ter ficado doente, ter sido internado e ficado entre a vida e a morte, quando voltei para a empresa, voltei com algumas sequelas, e me mandaram embora por já não ser mais o ""tipo de funcionário"" que eles precisavam. "
4all,Baixos salários e alta gestão relapsa e tóxica com os times
4all,"Muita coisa: Empresa sem foco, gerência tóxica se passando por disruptiva, manipulava o pessoal para trabalhar em feriados e fez um layoff duvidoso por falta de organização no orçamento."
4BIO Medicamentos,"Assédio moral, você é humilhado, maltratado a todo tempo, cultura da empresa é péssima, pior lugar para se trabalhar."
4Bio Medicamentos Especiais,"Infelizmente o coordenador do time de web se ele não for com a sua cara é demissão na certa, e pasmem o cara me bloqueou no Linkedin 2 meses apos a Demissão"
4Linux,"Salário nem um pouco competitivo com o mercado, plano de carreira com metas para ganhar migalhas de aumento. Você é promovido comparado ao seu salário, e não ao seu desempenho."
4Linux,"Junior fazendo trabalho de pleno, RH super congestionado resultando em um mal trabalho, ainda mais quando você tem que ver a folha todo mês pra ver se não erraram em algum pagamento."
4MK,"te prometem promoção mas ficam enrolando para promover, pleno ganhando salario maior que sênior não tem um equilíbrio salarial. "
4PIX / AlWi,"O diretor é uma piada. O foco é a venda sem pensar na entrega, ou se consegue fazer o que vendeu."
4sys,Gestão sem estrutura
8quali,Empresa completamente desumana
8qualit,a rotatividade de funcionarios é tao alta que falta uma porta giratoria
90Min,Empresa não dá espaço para as pessoas novas se desenvolverem / Empresa não privilegia conteúdo autoral  / Falta de um canal de comunicação clara com os gestores / Falta de um plano de carreira / Muita panela no Brasil / Salário abaixo do mercado / Só contrata via Pessoa Jurídica
99 tecnologia,"Racismo, má gestão, machismo"
99 tecnologia,"A empresa tem lideres que tem se mostrado cada vez mais com ego inflado e que tem agarrado o chicote para dar nos liberados.  O lema da empresa é ""todo dia melhor para todo mundo "" mas nesse todo mundo não está incluso os que eles chamam, orgulhosamente, de orangers. Estão forçando um modelo híbrido que ta mais pra presencial e tem gerente e head que quer mais é que a saúde dos funcionários vá pro inferno. Pra somar a tudo isso, uma regra de bonus anual desleal, privilegiando só uma unica área, esquecendo que todas as engrenagens giram loucamente para que a meta seja atendido. Nao posso deixar de falar da cultura racista, machista, elitista e capacitista que querem mascarar com programas de inclusão arrombado. O GM vem prometer que terá uma líder mulher em seu time, dentre o monte de homem, hetero, branco e cis que impera na liderança. "
99 Tecnologia,"Areas como a de marketing são extremamente egocêntricas e se acham o centro do universo. Não trabalham em conjunto, são medianos, entregam projetos irrelevantes e se acham incríveis. Além de passar por cima de qualquer um pra ter sucesso. Nunca serão uber. "
99 Tecnologia,"Há diversos casos de denúncia sobre a conduta de gestores e nada nunca é feito. Sempre tentam driblar as cobranças dos funcionários com discursos ensaiados e se fazem de diversos, quando na verdade acobertam e validam atitudes condenáveis. Tem muito o que melhorar e estão longe de ser uma referência. "
99 Tecnologia,"Áreas e times que precisam mudar a cada 3 meses pelo amor e um troca e troca de gestão, reestruturação, era uma ótima empresa de 2 anos pra cá estão tentando, mas vai longe, muito triste, remuneração razoavel e bons benefícios mas desmotiva muito mudanca todo dia, e mudança de gestão a cada 3 meses o crescimento é certo (de demanda) pq de promoção é um game bem bem difícil. "
99 Tecnologia,"Muitas demissões reestruturação, automatizando tudo, e talentos incríveis sendo demitidos"
99 Tecnologia,"Prega diversidade, mas esta cada vez menos diversa, tem casos de capacitismo e assédio moral "
99jobs,"Racismo, hipocrisia, excesso de carga horária, PJ com deveres CLT, sem promoção ou reconhecimento, ambiente de pressão psicológica."
99jobs,"ceo lobo em pele de cordeiro, utiliza pautas sociais pra auto promoção mas discrimina colaboradores negros. estagiários sem contrato. panelinhas pra efetivação "
99jobs,"Pj que devia ser clt. Ceo fala de segurança psicológica e é o primeiro a gritar e humilhar as pessoas, não respeita espaço individual e é fofoqueiro, fica causando intriga na empresa fazendo leva e trás"
99jobs,Explora até o osso e paga mto mal
A Fórmula - Farmácia de manipulação,"Diretor abusivo e sem respeito, ambiente toxico e prejudicial a saúde mental do trabalhador. Varios casos de colaboradores que tiveram que fazer acompanhamento psicológico por conta do tamanho da toxicidade "
a yoshii,"se não for engenheiro esqueça, ninguém sabe nem seu nome "
a Yoshii,"Tem tudo pra ser uma boa empresa mas tem que tirar os gestores que estão nos cargos por amizade, esses são os piores que ficam passando pano para as coisas erradas que só quem já trabalhou com a empresa sabe bem o que acontece"
a yoshii,"Gestores mal preparados, quando os funcionários reclamam colocam pra fazer um cursinho de “como ser um bom líder” e vão empurrando com a barriga pessoas pessimas "
A Yoshii engenharia,pesquisem a Yoshii engenharia no Google e cliquem em “notícias” não preciso escrever mais nada coleguinhas
A-LAB,"Demitiram metade dos funcionários. Diretoria Executiva incompetente, fraca. Não sabem vender o que é conteúdo e não seguram as marcas. "
A-LAB,Fizeram discurso e metas de diversidade qnd era hype e depois demitiram a maior parte mulheres e pessoas negras. Tudo pela incompetência dos ceos e diretoria. Mas esse continuam lá.
A-Lab,Inventam de um tudo pra parecerem descolados mas é só no discurso mesmo. Não sabem fazer conteúdo.
A-Lab,Essa empresa é lamentável! Já participei e a incompetência em produzir conteúdo é demais. O pior é quem ainda tem empresas que acreditam no trabalho de conteúdo dessa empresa. Risível.
A.Yoshii,O que falar de uma empresa em que o CEO abusa sexualmente de funcionárias?
a.yoshii,"O tanto de abuso sexual dentro da empresa não está escrito! Dentro do escritório, nas obras e até mesmo fora do trabalho as mulheres são assedias neste lugar!! Mas realmente, como elas podem denunciar se faz parte da “cultura” deles esconderem e abafarem casos assim? Tenho pena das moças que não podem denunciar por medo do que o poder deles pode causar, é triste!"
A.YOSHII ENGENHARIA,"Empresa machista, encobre casos de abuso com funcionárias por amizade entre os gestores com os responsáveis "
A.YOSHII ENGENHARIA,Gestores abusivos
A.YOSHII ENGENHARIA,Casos de assédio sexual são abafados e nunca são punidos
A.YOSHII ENGENHARIA,Favoritismo extremo com funcionários incompetentes/assedio/importunação sexual
A.YOSHII ENGENHARIA,Má gestão familiar
A&T Sindicos Profissionais,"Diretores despreparados, sem gestão eficiente, desrespeito com o funcionário, não cumpre combinados e horários, pagamento abaixo do mercado. "
A&T síndicos profissionais,"Péssimos chefes, falta de reconhecimento, salário baixo, entre outros."
A2,"A loiraça do financeiro DOMInou meu coração. Fica até difícil de concentrar nas tasks do trampo. Mas apesar de ser gata, é tóxica pq só beija zé ruela."
A2 Soluções Inteligentes,"O careca do financeiro só assedia e o RH, a de olho azul, só passa pano e faz nada. Fofocas rolam soltas e ninguém se importa com você. Bando de mentirosos. "
AAA MOTTU,"Todos que você puder imaginar. Carga excessiva de trabalho (6 dias por semana, variando de 12 a 16h por dia), salário pífio, zero sentido gestão (cada dia era uma aleatoriedade diferente), ambiente hostil (cadeiras que te dão problema de coluna, barulho que te deixa surdo, sujeira, cheiro de fumaça de motor de moto), cobrança excessiva sobre nenhum tipo de indicador. Resumindo, fuja."
Aaccenture,"A empresa tem bons benefícios, mas quando você entra, descobre o motivo: vão te matar aos poucos. Péssimos líderes, abandono e assédio em reuniões por parte dos líderes e dos clientes. Ninguém te defende; já ouvi colegas sendo chamados de burros e coisas piores. Os feedbacks são dados ao vivo, sem nem a capacidade de chamar a pessoa pessoalmente. Péssimos exemplos. Vim de uma empresa adquirida que tinha um clima maravilhoso para entrar em uma com o clima péssimo! O RH só aparece em reuniões coletivas; se você precisa de ajuda, esquece, tudo via chamado. Quando precisam te chamar no Teams, quando é você vai ter que abrirr um chamado e esperar. Me decepcionei com essa empresa."
Aarin Tech-fin,"Bom, trabalhava uma média de 10/12 hr por dia, tive um burnout e um mes depois do diagnostico fui mandada embora por PERFORMANCE, e me bloquearam da agenda da entrevista demissional...acho que já é o sufuciente"
Aass,Ddd
AB-Inbev,"Estão demitindo varias pessoas negras na area onde trabalho foram 4 de uma vez só, nao tem espaco para crescimento muito nepotismo e colequismo para conseguir algum cargo."
Abai (parla contact Center),"Gestão muito ruim, equipamentos ultrapassados, comentários machistas vindo dos meninos do t.i"
Abaré Marketing,"Demissões por conta de espectro político, CEO desrespeita funcionários na frente de todos, Salário baixíssimo, não tem CLT, só PJ. CEO não tem nem faculdade."
ABB,"Uma rocha é mais maleável que a gestão e o RH, esses que querem mais aparecer em rede social, do que de fato trabalhar "
ABB,"Machista, racista, homofóbica e cheio de tio do pavê que faz piada com todas as minorias. Prega o ""work life balance"", mas só dá condições de ""work life work"".Gestão retrógrada que não aceita novas ideias e melhorias. Cultura da positividade tóxica. Fazer mais com menos até os funcionários pedirem demissão é lei. Sistema para promoção de cargo com metas e e exigências sem sentido e surreais."
ABB Eletrificação,"O RH está mais preocupado em fingir que ama a empresa e ficar contando os dias que está na empresa (x anos, Y dias e z horas) do que com a saúde mental do funcionário. Preocupado em aparecer do que trabalhar. Ambiente tóxico e sem preparo. "
Abbott,"Exploram o jovem aprendiz, pessoas da divisão de diagnóstico pessimas, falam mal, excluem, sem educacao, exploram o jovem, fazem fazer hora a mais, ameacam, mandam indiretinha, ‘gestora’ cristiane a pior "
Abbott medical devices,"Gerência totalmente despreparada para lidar com funcionários, ambiente totalmente tóxico. O tratamento e diferente de pessoa para pessoa. "
Ability Informatica,"Desrespeito com os funcionarios, os donos são controladores e abusivos, so dão promoções quando você amessa sair, promove brigas entre funcionarios e os proprios donos xingam os funcionarios no meio de todos os outros colaboradores humilhando e destratando."
Ability Informatica,"Empresa desestruturada onde cada socio fala por cima do outro, faz com que os funcionarios saiam de suas funções e obrigam eles a fazer outros serviços, trabalhava como suporte e eles me obrigavam a ir entragar boleto a pé pela cidade de baixo de sol quente, tirando que a socia humilhava os colaboradores em reuniões e fazia escandos falando que iria demitir todos se ela quisse."
Ability Informatica,"Empresa tem 3 socios onde um homem cuida da parte de desenvolvimento, outro socio cuida da manutenção e compras e a outra socia que é esposa de um dos outros socios cuida do RH, e essa socia em questão é desiquilibrada de suas faculdades mentais, obrigava os colaboradores do setor de desenvolvimento a entragar boletos pela cidade a pé! Você trabalha como suporte ou dev e era obrigado a ir no sol quente entregar boleto, essa mesma socia humilhava os colaboradores e insinuava que eles eram inuteis e substituives, segundo a mesma ela demitia quem ela quisse e a hora que ela quisses, amigo meu sai de la direto para a terapia por estresse cronico e eu graças a Deus pedi demissão logo em seguida pois não aguentava mais tanta pressão! "
Ability informatica,"Desvio de funções onde você é obrigado a fazer atividades fora de suas funções, tirando as humilhações constantes por parte de um dos donos, nenhum funcionario aguenta trabalhar e todos querem sair"
AbInBev,"Horas extras essesivas, pessoas despraradas em cargos de lideranca, empresa na base do Gohorse, cultura do medo"
ABMEX,"Demitiu o time inteiro de tecnologia desligando os acessos, sem ter a decência de fazer ao mínimo uma reunião de desligamento. Gestão completamente despreparada"
ABMEX,A empresa é uma bagunça! Não respeitam colaboradores e clientes. O que gera um clima de tensão continua. Os CEOs são desperados ao extremo! Fizeram uma demissão em massa de 70% da empresa sem sequer comunicar. Apenas cortaram os acessos
About Cleaning Campos do Jordão,"Patrão é tóxico, fala mal de quem já passou pela empresa e reprime os funcionários."
Abrinq,"A rotatividade de pessoas na área da educação de lá é surreal, ninguém para lá! Pessoas com bons currículos, boa experiência, ninguém consegue permanecer! "
Açaí da barragem,"Abuso de poder da gerência, a dona da rede sobrecarregava as funcionárias, além de olhar elas com desdém dos pés a cabeça, se o funcionário perdia o último ônibus ela também pedia pro funcionário dormir na empresa (inclusive já deixou até colchão lá), além disso, muitos funcionários tinham burnout no estabelecimento."
Accenture,"Empresa boa pra amadurecer, mas salário abaixo do mercado e muita pressão em cima dos projetos. É a empresa com maior pressão que já trabalhei e não é de forma saudável"
Accenture,"Salários baixos, projetos ruins, times mal geridos e promoção demorada. História de ter um mentor de carreira é balela, nunca fui orientada por ninguém no curto período que trabalhei lá "
Accenture,Péssimos Salários
Accenture,Má liderança
Accenture,"Excesso de horas trabalhadas, falta de empatia com os colaboradores e baixos salarios"
Accenture,Paga bem mal e tem muita gente encostada
Accenture,"Muitos gestores sem perfil de liderança, que só pensam em resultados e falta empatia com os seus profissionais."
Accenture,Assédio moral; longos períodos de trabalho sem horas extras; Mudaram toda a fábrica de software de Alphaville de SP pra Recife pq pagam quase 50% a menos lá pelo mesmo trabalho; assédio começa nas entrevistas; quase não tem negros e mulheres em cargos de liderança;
Accenture,"Cultura workaholic - se dizem muito flexíveis, desde que o funcionário esteja totalmente flexível a fazer o que querem quando querem. Presenciei situacoes que considero assédio moral…."
Accenture,Atitudes de assédio moral do gestor na frente da equipe.
Accenture,"Carga exaustiva de trabalho, salário baixo"
Accenture,"Exploração, enganção pro cliente final... Famoso vende Senior, pra entregar Jr."
Accenture,"Retaliação velada, favoritismos,ambiente tóxico."
Accenture,"Os projetos são vendidos com escopo gigante para serem entregues por equipes reduzidas, com prazos impossíveis de serem cumpridos, o que gera atrito entre clientes e funcionários. Os atritos são resolvidos com novas promessas feitas pelos diretores aos clientes, para que os funcionários virem noites e façam gambiarras pra entregar. No fim, o projeto atrasa, os funcionários se ferram, trabalham sob pressão e condições horríveis (inclusive ergonômicas) e o cliente fica insatisfeito com a entrega final."
Accenture,Suga alma
Accenture,"Altas mentiras durante a contratação. Cargos não refletem tipo de trabalho. Politicamente absurda. Pouquíssima oportunidade para aprender coisas novas, só um monte de burocracia específica da empresa."
Accenture,Te contratam como Júnior e vendem como sênior na cara dura
Accenture,Baixa remuneração. Lhe vendem como senhor e te pagam como júnior. Chefias tóxicas que não são demitidas só pq conseguem oprimir os colaboradores a fazerem horas extras sem limites todos os dias.
Accenture,"otimo combo de beneficios, POREMMMM o salario é muito abaixo do mercado, a empresa tem um monte de dev jr (que já estão a 4 anos como jr e entrado no lugar de plenos em projetos dos clientes) que recebem 2.1k sem contar os descontos da clt (fica uns 1.8k mais ou menos com os descontos). fora a dificuldade que é pra conseguir uma promoção, pois se você não ""baba o ovo"" de ngm vc tem menos chances de ser promovido e SE você for promovido você vai receber ainda assim muito abaixo que em QUALQUER outra consultoria, até a empresa irmã da accenture que é a AVANADE paga mais. fora os treinamentos obrigatorios que são UMA MERDA e pra mim parece mais uma lavagem cerebral do que qualquer outra coisa. um ponto, varios ainda continuam de home office, porem eles só não migraram 100% pro escritorio ainda por que ainda tem um resistência muito grande dos funcionarios, mas eu garanto a você que a maioria que ta indo ou ta sendo OBRIGADA ou se casou com uma bruxa ou um demonio e teve um filho que não queria ter e por isso não suporta ficar em casa (foras os que tem amante no trabalho, que tem um monte de gestor que fica dando encima das jrs no trabalho). tirando esses pontos é uma empresa de consultoria como qualquer outra, oque a torna uma vaga arrombada é que o salario é uma MERDA e tem gente que tem menos experiência que você, menos skills que VOCÊ, que estão em outras empresas ganhando O DOBRO do seu salario. e já é uma empresa conhecida como ""a empresa famosa só pra se ter no curriculo"" mas VARIOS funcionarios assim que recebem uma oferta com um salario menor e menos beneficios METEM O PÉ, tanto que tem grupo com mais de 1k de pessoas no telegram chamado ""libertados da accenture""."
